Fichier,POI,Capteurs,Faisable,Capteurs_utilisés,POI_Couverts,Temps_ms,Generations
1.bmp,40,13,Non,0,0,1152,100
10.bmp,42,10,Oui,10,42,129,14
100.bmp,33,11,Oui,10,33,2,1
101.bmp,42,12,Oui,12,42,3,1
102.bmp,39,10,Oui,10,39,471,51
103.bmp,47,12,Oui,12,47,145,13
104.bmp,46,13,Oui,13,46,1142,89
105.bmp,44,12,Non,0,0,1168,100
106.bmp,42,12,Non,0,0,1141,100
107.bmp,30,11,Oui,10,30,2,1
108.bmp,46,11,Oui,11,46,160,15
109.bmp,39,11,Non,0,0,1008,100
11.bmp,45,10,Non,0,0,1041,100
110.bmp,43,11,Non,0,0,840,100
111.bmp,40,16,Non,0,0,930,100
112.bmp,45,13,Oui,13,45,211,26
113.bmp,33,11,Oui,9,33,1,1
114.bmp,45,12,Non,0,0,808,100
115.bmp,41,12,Oui,12,41,2,1
116.bmp,40,13,Oui,11,40,2,1
117.bmp,44,11,Non,0,0,752,100
118.bmp,41,12,Oui,12,41,2,1
119.bmp,43,11,Oui,11,43,2,1
12.bmp,37,12,Oui,12,37,2,1
120.bmp,45,10,Oui,10,45,91,14
121.bmp,33,10,Oui,8,33,1,1
122.bmp,43,12,Oui,12,43,2,1
123.bmp,38,11,Oui,11,38,2,1
124.bmp,35,12,Oui,11,35,2,1
125.bmp,41,11,Oui,11,41,73,10
126.bmp,38,11,Oui,10,38,2,1
127.bmp,46,10,Non,0,0,798,100
128.bmp,46,9,Oui,9,46,144,21
129.bmp,35,11,Oui,10,35,1,1
13.bmp,41,10,Non,0,0,667,100
130.bmp,45,13,Non,0,0,840,100
131.bmp,40,12,Oui,12,40,2,1
132.bmp,37,14,Oui,14,37,2,1
133.bmp,37,12,Oui,10,37,2,1
134.bmp,45,10,Oui,10,45,312,46
135.bmp,44,11,Non,0,0,745,100
136.bmp,37,10,Oui,9,37,1,1
137.bmp,43,11,Oui,11,43,2,1
